date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-07-05,-1.265182,0.404858,-1.585695,0.713558,0.713558,-1.626181,-3.181511,-5.204678,-6.242409,-7.615385,-8.336145,1,58.51809441077175
2019-07-08,-0.571141,0.235176,-0.873509,0.421727,0.421727,-1.179237,-3.015286,-4.90285,-6.109525,-7.403326,-8.359931,0,58.7648812461748
2019-07-09,-0.671141,0.050336,-0.989933,0.117588,0.117588,-0.761745,-2.649329,-4.290828,-5.750839,-6.883893,-8.08557,0,58.83398156008766
2019-07-10,-0.349127,0.581879,-0.665004,0.922819,0.922819,-1.107232,-2.86118,-4.362427,-6.096426,-7.19468,-8.460515,1,59.37691259797437
2019-07-11,0.316719,0.366728,-0.983497,-0.266002,-0.266002,-0.466744,-2.047008,-3.294994,-5.315053,-6.42107,-7.755181,0,59.21896902331642
2019-07-12,0.468149,0.468149,-0.8527,-0.30005,-0.30005,0.010032,-1.243939,-2.689628,-4.531015,-5.656579,-7.026696,0,59.041282501826224
2019-07-15,0.537544,0.537544,-0.470351,-0.468149,-0.468149,0.48043,-0.349404,-1.850048,-3.55703,-4.791534,-6.089367,0,58.7648812461748
2019-07-16,0.955468,1.484388,-0.034124,-1.545439,-1.146324,1.389905,0.948494,-0.473121,-1.952864,-3.358658,-4.512799,-1,58.09124518053779
2019-07-17,1.396793,1.655458,0.0,-1.05784,-1.05784,1.812715,1.987438,0.837723,-0.447309,-2.031037,-3.136662,-1,57.47673277630757
2019-07-18,-0.739849,0.034412,-0.894701,0.224177,0.224177,1.024836,1.672883,0.805884,-0.183689,-1.925566,-2.995995,0,57.6055821513881
2019-07-19,1.3382,1.720542,-0.034758,-0.997935,-0.997935,1.338078,2.436937,1.937771,0.890241,-0.664657,-1.719142,-1,57.03071570872111
2019-07-22,0.486111,0.833333,-0.086806,0.104275,0.104275,0.645833,2.03689,1.931124,0.933288,-0.453193,-1.557917,0,57.090184651065975
2019-07-23,1.061793,1.201044,0.0,-0.260417,-0.260417,0.504787,1.970951,2.159458,1.278552,0.122439,-1.088642,0,56.94151229520383
2019-07-24,-1.135777,0.189296,-1.256238,1.148825,1.148825,-0.595422,0.503522,0.986079,0.323261,-0.641397,-1.96036,1,57.595670660997285
2019-07-25,0.137245,0.58329,-0.360268,0.309757,0.309757,-0.844056,-0.056927,0.636221,0.172902,-0.54865,-1.983672,0,57.77407748803187
2019-07-26,-0.273504,0.25641,-0.512821,0.360268,0.360268,-0.871795,-0.59835,0.213349,-0.019239,-0.786674,-2.057612,0,57.98221878623888
